ts_us,rss_kb,cpu_pct
1779299311604373,12552,0.0
1779299311919456,12552,0.0
1779299312234874,12552,0.0
1779299312549607,12552,0.0
1779299312865351,12552,0.0
1779299313177552,12552,0.0
1779299313491336,12552,0.0
1779299313804361,12552,0.0
1779299314119266,12552,0.0
1779299314431453,12552,0.0
1779299314745594,12552,0.0
1779299315058570,12552,0.0
1779299315372069,12552,0.0
1779299315684303,12552,0.0
1779299315999697,12552,0.0
1779299316312899,12552,0.0
1779299316630436,12552,0.0
1779299316946418,12552,0.0
1779299317261849,12552,0.0
1779299317577108,12552,0.0
1779299317890255,12552,0.0
1779299318202059,12552,0.0
1779299318514658,12552,0.0
1779299318827847,12552,0.0
1779299319139596,12552,0.0
1779299319455964,12552,0.0
1779299319768256,12552,0.0
1779299320081713,12552,0.0
1779299320395649,12552,0.0
1779299320709244,12552,0.0
1779299321023659,12552,0.0
1779299321339203,12552,0.0
1779299321654920,12552,0.0
1779299321967762,12552,0.0
1779299322284016,12552,0.0
1779299322602948,12552,0.0
1779299322918058,12552,0.0
1779299323231419,12552,0.0
1779299323546143,12552,0.0
1779299323861506,12552,0.0
1779299324176616,12552,0.0
1779299324490289,12552,0.0
1779299324803199,12552,0.0
1779299325115420,12552,0.0
1779299325428000,12552,0.0
1779299325739718,12552,0.0
1779299326056976,12552,0.0
1779299326370427,12552,0.0
1779299326689169,12552,0.0
1779299327003991,12552,0.0
1779299327317598,12552,0.0
1779299327634230,12552,0.0
1779299327946156,12552,0.0
1779299328260010,12552,0.0
1779299328572565,12552,0.0
1779299328884449,12552,0.0
1779299329196937,12552,0.0
1779299329509566,12552,0.0
1779299329823318,12552,0.0
1779299330136115,12552,0.0
1779299330450198,12552,0.0
1779299330762323,12552,0.0
1779299331077573,12552,0.0
1779299331389595,12552,0.0
1779299331705226,12552,0.0
1779299332018672,12552,0.0
1779299332333670,12552,0.0
1779299332645772,12552,0.0
1779299332956893,12552,0.0
1779299333270063,12552,0.0
1779299333582468,12552,0.0
1779299333896221,12552,0.0
1779299334209128,12552,0.0
1779299334521534,12552,0.0
1779299334836872,12552,0.0
1779299335149466,12552,0.0
1779299335464609,12552,0.0
1779299335776808,12552,0.0
1779299336090809,12552,0.0
1779299336404826,12552,0.0
1779299336717793,12552,0.0
1779299337031393,12552,0.0
1779299337345851,12552,0.0
1779299337660019,12552,0.0
1779299337972482,12552,0.0
1779299338287904,12552,0.0
1779299338600083,12552,0.0
1779299338913792,12552,0.0
1779299339226841,12552,0.0
1779299339538527,12552,0.0
1779299339852259,12552,0.0
1779299340165016,12552,0.0
1779299340478877,12552,0.0
1779299340793792,12552,0.0
1779299341108704,12552,0.0
1779299341422672,12552,0.0
1779299341736140,12552,0.0
1779299342048788,12552,0.0
1779299342361716,12552,0.0
1779299342675235,12552,0.0
1779299342989512,12552,0.0
1779299343303065,12552,0.0
1779299343619163,12552,0.0
1779299343931391,12552,0.0
1779299344244087,12552,0.0
1779299344558942,12552,0.0
1779299344876233,12552,0.0
1779299345190599,12552,0.0
1779299345503005,12552,0.0
1779299345815386,12552,0.0
1779299346128805,12552,0.0
1779299346443703,12552,0.0
1779299346757098,12552,0.0
1779299347071440,12552,0.0
1779299347383186,12552,0.0
1779299347695743,12552,0.0
1779299348008158,12552,0.0
1779299348321137,12552,0.0
1779299348635941,12552,0.0
1779299348949251,12552,0.0
1779299349264390,12552,0.0
1779299349577841,12552,0.0
1779299349891387,12552,0.0
1779299350206352,12552,0.0
1779299350519618,12552,0.0
1779299350833790,12552,0.0
1779299351147836,12552,0.0
1779299351460959,12552,0.0
1779299351774732,12552,0.0
1779299352087434,12552,0.0
1779299352399795,12552,0.0
1779299352713238,12552,0.0
1779299353026550,12552,0.0
1779299353339774,12552,0.0
1779299353652279,12552,0.0
1779299353964566,12552,0.0
1779299354280828,12552,0.0
1779299354594848,12552,0.0
1779299354907626,12552,0.0
1779299355223923,12552,0.0
1779299355536543,12552,0.0
1779299355851690,12552,0.0
1779299356163850,12552,0.0
1779299356476661,12552,0.0
1779299356789602,12552,0.0
1779299357103904,12552,0.0
1779299357419295,12552,0.0
1779299357733422,12552,0.0
1779299358045114,12552,0.0
1779299358360085,12552,0.0
1779299358672695,12552,0.0
1779299358984291,12552,0.0
1779299359297752,12552,0.0
1779299359610959,12552,0.0
1779299359923351,12552,0.0
1779299360235579,12552,0.0
1779299360548715,12552,0.0
